"","soil_year","mod.q","rep.q","max.q","size","web","soil","year","q.norm"
"60","ns_2014",0.5588,10,0.7464,50,"ns_2014","ns",2014,0.7486602357985
"61","ns_2014",0.547438016528926,1,0.743140495867769,55,"ns_2014","ns",2014,0.736654804270463
"62","ns_2014",0.6,2,0.746446280991735,55,"ns_2014","ns",2014,0.803808680248007
"63","ns_2014",0.599669421487603,3,0.745123966942149,55,"ns_2014","ns",2014,0.804791481810115
"64","ns_2014",0.619504132231405,4,0.745785123966942,55,"ns_2014","ns",2014,0.830673758865248
"65","ns_2014",0.56495867768595,5,0.745785123966942,55,"ns_2014","ns",2014,0.757535460992908
"66","ns_2014",0.581818181818182,6,0.743140495867769,55,"ns_2014","ns",2014,0.782918149466192
"67","ns_2014",0.600330578512397,7,0.741157024793388,55,"ns_2014","ns",2014,0.809991079393399
"68","ns_2014",0.595702479338843,8,0.746446280991735,55,"ns_2014","ns",2014,0.798051372896369
"69","ns_2014",0.636363636363636,9,0.744462809917355,55,"ns_2014","ns",2014,0.854795737122558
"70","ns_2014",0.63603305785124,10,0.742479338842975,55,"ns_2014","ns",2014,0.856634016028495
"71","ns_2014",0.566666666666667,1,0.746111111111111,60,"ns_2014","ns",2014,0.759493670886076
"72","ns_2014",0.570277777777778,2,0.748333333333333,60,"ns_2014","ns",2014,0.762063845582776
"73","ns_2014",0.613611111111111,3,0.738333333333334,60,"ns_2014","ns",2014,0.831075996990218
"74","ns_2014",0.558333333333333,4,0.734444444444444,60,"ns_2014","ns",2014,0.760211800302572
"75","ns_2014",0.644444444444444,5,0.728888888888889,60,"ns_2014","ns",2014,0.884146341463414
"76","ns_2014",0.591111111111111,6,0.746111111111111,60,"ns_2014","ns",2014,0.792256142963515
"77","ns_2014",0.569444444444444,7,0.732777777777778,60,"ns_2014","ns",2014,0.77710386656558
"78","ns_2014",0.567777777777778,8,0.748333333333333,60,"ns_2014","ns",2014,0.758723088344469
"79","ns_2014",0.617777777777777,9,0.739444444444444,60,"ns_2014","ns",2014,0.835462058602554
"80","ns_2014",0.563888888888889,10,0.746111111111111,60,"ns_2014","ns",2014,0.755770662695458
"81","ns_2014",0.559289940828402,1,0.728520710059172,65,"ns_2014","ns",2014,0.767706302794022
"82","ns_2014",0.63810650887574,2,0.740828402366864,65,"ns_2014","ns",2014,0.861341853035144
"83","ns_2014",0.635739644970414,3,0.745562130177515,65,"ns_2014","ns",2014,0.852698412698413
"84","ns_2014",0.629349112426036,4,0.745562130177515,65,"ns_2014","ns",2014,0.844126984126985
"85","ns_2014",0.588402366863905,5,0.740828402366864,65,"ns_2014","ns",2014,0.794249201277955
"86","ns_2014",0.55715976331361,6,0.742721893491124,65,"ns_2014","ns",2014,0.750159337157425
"87","ns_2014",0.612544378698225,7,0.74792899408284,65,"ns_2014","ns",2014,0.818987341772152
"88","ns_2014",0.528994082840237,8,0.729467455621302,65,"ns_2014","ns",2014,0.725178455548345
"89","ns_2014",0.566153846153846,9,0.739881656804734,65,"ns_2014","ns",2014,0.765195137555982
"90","ns_2014",0.541775147928994,10,0.74508875739645,65,"ns_2014","ns",2014,0.72712833545108
"91","ns_2014",0.595102040816327,1,0.748163265306123,70,"ns_2014","ns",2014,0.795417348608838
"92","ns_2014",0.582448979591837,2,0.737959183673469,70,"ns_2014","ns",2014,0.789269911504425
"93","ns_2014",0.627142857142857,3,0.741632653061225,70,"ns_2014","ns",2014,0.845624656026417
"94","ns_2014",0.601428571428571,4,0.743265306122449,70,"ns_2014","ns",2014,0.809170785282812
"95","ns_2014",0.564897959183673,5,0.73265306122449,70,"ns_2014","ns",2014,0.771030640668524
"96","ns_2014",0.554897959183673,6,0.747755102040816,70,"ns_2014","ns",2014,0.742085152838428
"97","ns_2014",0.594693877551021,7,0.744897959183674,70,"ns_2014","ns",2014,0.798356164383562
"98","ns_2014",0.598163265306122,8,0.744489795918368,70,"ns_2014","ns",2014,0.803453947368421
"99","ns_2014",0.573469387755102,9,0.743265306122449,70,"ns_2014","ns",2014,0.771554091158704
"100","ns_2014",0.61,10,0.742857142857143,70,"ns_2014","ns",2014,0.821153846153846
"101","ns_2014",0.565333333333333,1,0.744533333333333,75,"ns_2014","ns",2014,0.759312320916906
"102","ns_2014",0.584,2,0.736,75,"ns_2014","ns",2014,0.793478260869565
"103","ns_2014",0.604977777777778,3,0.743822222222222,75,"ns_2014","ns",2014,0.813336520076482
"104","ns_2014",0.599111111111111,4,0.745244444444445,75,"ns_2014","ns",2014,0.803912213740458
"105","ns_2014",0.602311111111111,5,0.735288888888889,75,"ns_2014","ns",2014,0.819148936170213
"106","ns_2014",0.658844444444444,6,0.7328,75,"ns_2014","ns",2014,0.899078117418728
"107","ns_2014",0.518933333333333,7,0.740977777777778,75,"ns_2014","ns",2014,0.700335892514396
"108","ns_2014",0.5648,8,0.733155555555556,75,"ns_2014","ns",2014,0.770368574199806
"109","ns_2014",0.579377777777778,9,0.741333333333333,75,"ns_2014","ns",2014,0.781534772182254
"110","ns_2014",0.556622222222222,10,0.735288888888889,75,"ns_2014","ns",2014,0.757011605415861
"111","ns_2014",0.60375,1,0.731875,80,"ns_2014","ns",2014,0.824935952177626
"112","ns_2014",0.5409375,2,0.7365625,80,"ns_2014","ns",2014,0.734408145948239
"113","ns_2014",0.60390625,3,0.731875,80,"ns_2014","ns",2014,0.825149444918873
"114","ns_2014",0.5059375,4,0.7390625,80,"ns_2014","ns",2014,0.684566596194503
"115","ns_2014",0.58125,5,0.7403125,80,"ns_2014","ns",2014,0.785141409877585
"116","ns_2014",0.6075,6,0.7471875,80,"ns_2014","ns",2014,0.813048933500627
"117","ns_2014",0.56953125,7,0.731875,80,"ns_2014","ns",2014,0.778181041844577
"118","ns_2014",0.5715625,8,0.7453125,80,"ns_2014","ns",2014,0.766876310272537
"119","ns_2014",0.53546875,9,0.73625,80,"ns_2014","ns",2014,0.727292020373514
"120","ns_2014",0.575,10,0.7465625,80,"ns_2014","ns",2014,0.77019673503558
"121","ns_2014",0.579792387543253,1,0.74961937716263,85,"ns_2014","ns",2014,0.773449039881832
"122","ns_2014",0.550311418685121,2,0.744083044982699,85,"ns_2014","ns",2014,0.739583333333333
"123","ns_2014",0.595432525951557,3,0.73522491349481,85,"ns_2014","ns",2014,0.809864457831325
"124","ns_2014",0.587681660899654,4,0.74878892733564,85,"ns_2014","ns",2014,0.784842883548983
"125","ns_2014",0.613979238754325,5,0.738546712802768,85,"ns_2014","ns",2014,0.831334332833583
"126","ns_2014",0.589757785467128,6,0.738546712802768,85,"ns_2014","ns",2014,0.798538230884558
"127","ns_2014",0.553771626297578,7,0.741314878892734,85,"ns_2014","ns",2014,0.747012696041822
"128","ns_2014",0.595847750865052,8,0.748235294117647,85,"ns_2014","ns",2014,0.796337402885683
"129","ns_2014",0.588235294117647,9,0.743252595155709,85,"ns_2014","ns",2014,0.791433891992551
"130","ns_2014",0.554878892733564,10,0.743806228373702,85,"ns_2014","ns",2014,0.745999255675474
"131","ns_2014",0.57604938271605,1,0.741975308641976,90,"ns_2014","ns",2014,0.776372712146423
"132","ns_2014",0.532222222222222,2,0.738024691358025,90,"ns_2014","ns",2014,0.721144195383071
"133","ns_2014",0.555679012345679,3,0.740493827160494,90,"ns_2014","ns",2014,0.750416805601867
"134","ns_2014",0.547530864197531,4,0.739012345679012,90,"ns_2014","ns",2014,0.740895422652857
"135","ns_2014",0.619753086419753,5,0.726666666666667,90,"ns_2014","ns",2014,0.852871219843697
"136","ns_2014",0.572592592592593,6,0.739753086419753,90,"ns_2014","ns",2014,0.774032042723631
"137","ns_2014",0.571604938271605,7,0.740740740740741,90,"ns_2014","ns",2014,0.771666666666667
"138","ns_2014",0.552592592592593,8,0.723703703703704,90,"ns_2014","ns",2014,0.763561924257932
"139","ns_2014",0.590987654320988,9,0.736543209876543,90,"ns_2014","ns",2014,0.802380154207174
"140","ns_2014",0.563950617283951,10,0.744938271604938,90,"ns_2014","ns",2014,0.757043420616507
"141","ns_2014",0.542382271468144,1,0.74415512465374,95,"ns_2014","ns",2014,0.728856462179869
"142","ns_2014",0.621052631578947,2,0.743711911357341,95,"ns_2014","ns",2014,0.835071513706794
"143","ns_2014",0.601662049861496,3,0.740609418282548,95,"ns_2014","ns",2014,0.812387791741472
"144","ns_2014",0.543379501385042,4,0.748587257617729,95,"ns_2014","ns",2014,0.725873297809355
"145","ns_2014",0.548587257617728,5,0.74393351800554,95,"ns_2014","ns",2014,0.73741435805779
"146","ns_2014",0.565207756232687,6,0.749473684210526,95,"ns_2014","ns",2014,0.754139562389119
"147","ns_2014",0.557894736842105,7,0.741274238227147,95,"ns_2014","ns",2014,0.752615844544096
"148","ns_2014",0.537506925207756,8,0.743047091412743,95,"ns_2014","ns",2014,0.723382045929019
"149","ns_2014",0.625373961218837,9,0.744819944598338,95,"ns_2014","ns",2014,0.839631062183874
"150","ns_2014",0.557008310249308,10,0.746371191135734,95,"ns_2014","ns",2014,0.746288598574822
"151","ns_2014",0.534,1,0.7434,100,"ns_2014","ns",2014,0.718321226795803
"152","ns_2014",0.6004,2,0.7404,100,"ns_2014","ns",2014,0.810913019989195
"153","ns_2014",0.5496,3,0.7444,100,"ns_2014","ns",2014,0.738312735088662
