"","soil_year","size","mod.q","q.max","q.norm","soil","year"
"1","ns_2014",429,0.554425372607191,0.747670356061964,0.741537186959492,"ns",2014
"2","ns_2015",1122,0.608980652705094,0.746731231789426,0.815528568753936,"ns",2015
"3","s_2014",286,0.62258545650154,0.744217321140398,0.836564050333475,"s",2014
"4","s_2015",367,0.642918129914098,0.746267326953203,0.861511829197923,"s",2015
